file name,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary
./data\156.txt,6277,957,0.7314524555903866,2.507836990595611,1.7763845350052248,0.0,0.3134796238244514,0.522466039707419,0.10449320794148381,534.7962382445141,4,3,1.71055381400209,5.205851619644723,445
./data\157.txt,3854,571,1.0507880910683012,1.4010507880910683,0.3502626970227671,0.0,0.3502626970227671,0.3502626970227671,0.0,546.584938704028,37,17,1.74430823117338,5.315236427320491,285
./data\158.txt,4541,688,0.436046511627907,1.4534883720930232,1.0174418604651163,0.0,0.29069767441860467,0.0,0.0,538.6627906976744,20,6,1.7994186046511629,5.21656976744186,298
./data\159.txt,4148,620,1.2903225806451613,4.032258064516129,1.129032258064516,0.16129032258064516,0.8064516129032258,0.8064516129032258,0.0,555.8064516129032,0,0,1.8129032258064517,5.495161290322581,314
./data\16.txt,5694,900,0.7777777777777778,1.5555555555555556,1.0,0.0,2.3333333333333335,0.4444444444444444,0.1111111111111111,514.1111111111111,9,5,1.6833333333333333,5.004444444444444,411
./data\160.txt,4681,781,0.8962868117797695,1.4084507042253522,3.969270166453265,0.7682458386683738,0.12804097311139565,3.585147247119078,0.12804097311139565,490.14084507042253,12,4,1.6312419974391805,4.854033290653009,274
./data\161.txt,4375,650,2.307692307692308,1.2307692307692308,1.0769230769230769,0.0,0.46153846153846156,0.3076923076923077,0.15384615384615385,552.4615384615385,16,6,1.8723076923076922,5.443076923076923,319
./data\162.txt,5014,781,1.1523687580025608,2.6888604353393086,0.8962868117797695,0.0,0.7682458386683738,0.12804097311139565,0.0,524.3277848911652,13,8,1.7311139564660691,5.120358514724712,308
./data\163.txt,3839,572,0.8741258741258742,3.146853146853147,0.6993006993006993,0.0,0.0,0.34965034965034963,0.0,558.3916083916084,0,0,1.8986013986013985,5.538461538461538,286
./data\164.txt,5191,744,3.8978494623655915,1.6129032258064515,1.6129032258064515,0.13440860215053765,0.9408602150537635,0.6720430107526881,0.4032258064516129,585.752688172043,0,0,2.03494623655914,5.809139784946237,344
./data\165.txt,7202,1054,4.364326375711575,2.6565464895635675,0.8538899430740038,0.0,0.8538899430740038,0.47438330170777987,0.3795066413662239,568.9753320683112,2,2,1.898481973434535,5.665085388994307,477
./data\166.txt,5115,788,0.25380710659898476,0.6345177664974619,1.3959390862944163,0.25380710659898476,0.6345177664974619,1.3959390862944163,0.8883248730964468,530.0761421319797,9,7,1.7093908629441625,5.2347715736040605,296
./data\167.txt,9550,1479,2.7721433400946585,1.2170385395537524,0.878972278566599,0.1352265043948614,0.878972278566599,0.2704530087897228,0.5409060175794456,526.5720081135902,0,0,1.7430696416497633,5.159567275185936,530
./data\168.txt,4798,675,1.6296296296296295,3.111111111111111,1.037037037037037,0.0,0.7407407407407408,0.0,0.0,589.1851851851852,0,0,1.9096296296296296,5.733333333333333,301
./data\169.txt,6339,895,5.251396648044693,0.44692737430167595,0.44692737430167595,0.0,0.0,0.22346368715083798,0.33519553072625696,578.1005586592179,24,18,1.8905027932960894,5.381005586592178,365
./data\17.txt,12303,1721,1.1040092969203952,1.5107495642068565,1.1621150493898895,0.058105752469494475,0.2905287623474724,0.2905287623474724,0.11621150493898895,593.9570017431726,23,7,1.8872748402091808,5.718187100522952,740
